time,latitude,longitude,number,expver,Star_Event,PM25,PM10,Ratio
2025-01-04 00:00:00,51.49999999999989,-3.3000000000000136,0,0001,1.0,2.0338716266718853e-08,2.2101637187075007e-08,0.9202357316141672
2025-01-04 00:00:00,51.49999999999989,-3.2000000000000135,0,0001,1.0,2.417822209110616e-08,2.5953928783903107e-08,0.9315823547339678
2025-01-04 01:00:00,51.49999999999989,-3.3000000000000136,0,0001,1.0,1.942618093932433e-08,2.1150606377415662e-08,0.9184692198738732
2025-01-04 01:00:00,51.49999999999989,-3.2000000000000135,0,0001,1.0,2.3025787249106248e-08,2.4766420210946594e-08,0.9297180235571147
2025-01-04 02:00:00,51.49999999999989,-3.4000000000000137,0,0001,1.0,1.5153938816753278e-08,1.682023949752254e-08,0.9009347827054013
2025-01-04 02:00:00,51.49999999999989,-3.3000000000000136,0,0001,1.0,1.851364561192981e-08,2.0199575567756314e-08,0.9165363673028022
2025-01-04 02:00:00,51.49999999999989,-3.2000000000000135,0,0001,1.0,2.1873352407106345e-08,2.357891163799009e-08,0.9276659051499321
2025-01-05 02:00:00,56.39999999999996,-3.1000000000000134,0,0001,1.0,1.3422615010213216e-08,1.3726354525234316e-08,0.9778718002319763
2025-01-05 02:00:00,56.39999999999996,-3.0000000000000133,0,0001,1.0,1.2593066015901753e-08,1.293906391290173e-08,0.9732594336553995
2025-01-05 12:00:00,52.399999999999906,-1.8000000000000123,0,0001,1.0,9.506647913325518e-09,9.65073621017501e-09,0.985069709324603
2025-01-05 12:00:00,52.399999999999906,-1.7000000000000122,0,0001,1.0,9.307418835645686e-09,9.448618332185103e-09,0.9850560694087468
2025-01-05 12:00:00,52.399999999999906,-1.600000000000012,0,0001,1.0,9.108189757965855e-09,9.246500454195196e-09,0.9850418331871071
2025-01-05 12:00:00,52.299999999999905,-2.400000000000013,0,0001,1.0,9.301587722276304e-09,9.445242366012383e-09,0.9847907932724941
2025-01-05 12:00:00,52.299999999999905,-2.3000000000000127,0,0001,1.0,9.252618865529004e-09,9.390243027595504e-09,0.9853439190378718
2025-01-05 12:00:00,52.299999999999905,-2.2000000000000126,0,0001,1.0,9.203650008781533e-09,9.335243689178448e-09,0.9859035623730465
2025-01-05 12:00:00,52.299999999999905,-2.1000000000000125,0,0001,1.0,9.154681152034062e-09,9.280244350761392e-09,0.9864698391570876
2025-01-05 12:00:00,52.299999999999905,-2.0000000000000124,0,0001,1.0,9.105712295286589e-09,9.225245012344334e-09,0.9870428680324699
2025-01-05 13:00:00,52.399999999999906,-2.3000000000000127,0,0001,1.0,9.078910586286778e-09,9.288757189343953e-09,0.977408538216726
2025-01-05 13:00:00,52.399999999999906,-2.2000000000000126,0,0001,1.0,9.1492211769696e-09,9.357901694280291e-09,0.9777000737848913
2025-01-05 13:00:00,52.399999999999906,-2.1000000000000125,0,0001,1.0,9.219531767652426e-09,9.427046199216632e-09,0.9779873327043364
2025-01-05 13:00:00,52.399999999999906,-2.0000000000000124,0,0001,1.0,9.289842358335252e-09,9.49619070415297e-09,0.9782704083936019
2025-01-05 13:00:00,52.399999999999906,-1.9000000000000123,0,0001,1.0,9.111290407332994e-09,9.319047103438951e-09,0.9777062296391559
2025-01-08 08:00:00,51.39999999999989,-0.5000000000000117,0,0001,1.0,1.0813158072644793e-08,1.1321397930251658e-08,0.9551080298795249
