,Type,age,breed,sex,presented,County,lon,lat,Diagnosis method
"On 23 June 2025, EGSF reported a fatal case of EGS in a four-year-old Irish Draught horse that presented with sub-acute EGS on 1 June 2025 on a premises in East Yorkshire. There are no further details currently available on this case.",sub-acute,4,Irish Draught horse,,01 June 2025,East Yorkshire,-0.515949,53.896729,
"On 23 June 2025, EGSF reported a case of EGS in a gelding that presented with chronic EGS on 1 June 2025 on a premises in North Yorkshire. There are no further details currently available on this case.",chronic,,,gelding,01 June 2025,North Yorkshire,-1.55032,54.093712,
"On 1 June 2025, EGSF reported a fatal case of acute EGS in an undefined gelding on a premises in Suffolk, that presented on 30 May 2025. The positive diagnosis was confirmed on clinical signs by a veterinary surgeon and post mortem examination with ganglian histopathology. There are no further details available on this case.",acute,,,gelding,30 May 2025,Suffolk,1.049148,52.253868,clinical signs by a veterinary surgeon and post mortem with ganglia histopathology
"On 1 June 2025, EGSF reported a case of EGS in an undefined animal on a premises in Leicestershire that presented on 29 May 2025. The positive diagnosis was confirmed on clinical signs by a veterinary surgeon. There are no further details available on this case.",,,,,29 May 2025,Leicestershire,-1.3779,52.68779,clinical signs by a veterinary surgeon
"On 30 May 2025, EGSF reported a case of fatal sub-acute EGS in an 18-month-old Cob filly on a premises in Northamptonshire. The case occurred on 29 May 2025 with the positive diagnosis confirmed on clinical signs by a veterinary surgeon. There are no further details currently available on this case.",sub-acute,1,,filly,29 May 2025,Northamptonshire,-0.86668,52.31105,clinical signs by a veterinary surgeon
"On 16 June 2025, EGSF reported a fatal case of EGS in a two-year-old Highland Pony filly on a premises in Cumbria. The case presented with acute EGS on 26 May 2025. Positive diagnosis was confirmed on clinical signs by a veterinary surgeon and post mortem with ganglia histopathology. There are no further details currently available on this case.",acute,2,Highland Pony,filly,26 May 2025,Cumbria,-2.90218,54.63826,clinical signs by a veterinary surgeon and post mortem with ganglia histopathology
"On 1 June 2025, EGSF reported a fatal case of acute EGS in a seven-year-old gelding on a premises in Kent, that presented on 26 May 2025. The positive diagnosis was confirmed on clinical signs by a veterinary surgeon. There are no further details available on this case.",acute,7,,gelding,26 May 2025,Kent,0.721553,51.192902,clinical signs by a veterinary surgeon
"On 22 July 2025, EGSF reported a case of EGS in a two-year-old Pony gelding that presented with chronic EGS on 25 May 2025 on a premises in Somerset. Positive diagnosis was confirmed by a veterinary surgeon and the animal has survived. There are no further details currently available on this case",chronic,2,pony,gelding,25 May 2025,Somerset,-3.29605,51.071861,confirmed by a veterinary surgeon
"On 16 June 2025, EGSF reported a fatal case of EGS in a five-year-old Friesian mare on a premises in Aberdeenshire. The case presented with acute EGS on 22 May 2025. Positive diagnosis was confirmed on clinical signs by a veterinary surgeon. There are no further details currently available on this case.",acute,5,Friesian,mare,22 May 2025,Aberdeenshire,-2.79205,57.23468,clinical signs by a veterinary surgeon
"On 1 June 2025, EGSF reported a fatal case of EGS on premises in Clackmannanshire. The affected animal was a 15-year-old Section D Wesh Cob that presented with sub-acute EGS on 21 May 2025. Positive diagnosis was confirmed by surgery with gut biopsy and histopathology.",sub-acute,15,Section D Welsh Cob,,21 May 2025,Clackmannanshire,-3.75344,56.14724,surgery with gut biopsy and histopathology
"On 3 June 2025, EGSF reported a fatal case of EGS on premises in Perth and Kinross. The affected animal was a six-year-old Warmblood mare that presented with acute EGS on 15 May 2025. There are no further details currently available on this case.",acute,6,Warmblood,mare,15 May 2025,Perth and Kinross,-3.8848,56.575291,
"On 11 November 2025, EGSF reported a case EGS affecting a six-year-old mare on a premises in Tyne and Wear that presented on 12 May 2025. There are no further details currently available on this case.",,6,,mare,12 May 2025,Tyne and Wear,-1.541234,54.958123,
"On 9 June 2025, EGSF reported a case of fatal EGS in a two-year-old mare on a premises in Staffordshire. The case presented with acute EGS on 12 May 2025. Positive diagnosis was confirmed on clinical signs by a veterinary surgeon. There are no further details currently available on this case.",acute,2,,mare,12 May 2025,Staffordshire,-2.02756,52.909302,clinical signs by a veterinary surgeon
