Variable,Group,Mean,StdDev
Temp,Filtered Events,12.183769226074219,6.413951873779297
Temp,Background,10.02074909210205,5.633361339569092
Dew,Filtered Events,7.822534561157227,5.092191219329834
Dew,Background,6.691856861114502,4.781162738800049
Press,Filtered Events,1008.3072509765625,12.674306869506836
Press,Background,996.1338500976562,18.957050323486328
PM25,Filtered Events,1.5731296118418375e-08,5.691489353299996e-09
PM25,Background,8.958714659001998e-09,5.260714974753e-09
