Variable,Group,Mean,StdDev
Temp,Filtered Events,10.431293487548828,5.14240026473999
Temp,Background,10.02978229522705,5.62876558303833
Dew,Filtered Events,7.194655895233154,4.284030437469482
Dew,Background,6.653057098388672,4.788930892944336
Press,Filtered Events,1004.6620483398438,14.370119094848633
Press,Background,995.9769287109375,18.88945770263672
PM25,Filtered Events,1.6171589834441566e-08,8.177694665405814e-09
PM25,Background,9.015987068039522e-09,5.2052269161606546e-09
