time,latitude,longitude,number,expver,Star_Event,PM25_Step0,PM10_Step0,PM25_Step1,PM10_Step1,PM25_Step2,PM10_Step2,PM25_Step3,PM10_Step3
2025-01-03 11:00:00,50.79999999999988,-4.2000000000000135,0,0001,1.0,3.3454006879524732e-09,4.456676981161036e-09,3.354985703604009e-09,4.48630766332813e-09,3.3645707192555523e-09,4.515938345495263e-09,3.3432764404152926e-09,4.5228355088912e-09
2025-01-03 11:00:00,50.79999999999988,-4.100000000000014,0,0001,1.0,3.3534925715970995e-09,4.430522407284009e-09,3.3690203688164003e-09,4.47222601949103e-09,3.3900479969504705e-09,4.522593880414726e-09,3.411075625084534e-09,4.572961741338417e-09
2025-01-03 16:00:00,50.49999999999988,-4.900000000000011,0,0001,1.0,4.63753292249536e-09,5.691740930421162e-09,4.637532922495026e-09,5.69174093042094e-09,4.366222240241146e-09,5.522147109952308e-09,4.0949115579872704e-09,5.3525532894836855e-09
2025-01-03 16:00:00,50.49999999999988,-4.800000000000011,0,0001,1.0,4.9732727195704234e-09,5.8971814098644114e-09,4.915459266471025e-09,5.868866910970404e-09,4.589995231119064e-09,5.6506184916334226e-09,4.2645311957671025e-09,5.43237007229644e-09
2025-01-03 16:00:00,50.49999999999988,-4.700000000000012,0,0001,1.0,5.0777587042495685e-09,5.98936389373282e-09,5.077758704249159e-09,5.989363893732528e-09,4.764314695075284e-09,5.777807380683899e-09,4.450870685901409e-09,5.5662508676352695e-09
2025-01-03 17:00:00,56.499999999999964,-5.9000000000000075,0,0001,1.0,2.2877033508302843e-09,3.789959975482852e-09,2.2877033508302893e-09,3.789959975482861e-09,2.2880510939319706e-09,3.783688083911957e-09,2.2883988370336504e-09,3.777416192341053e-09
2025-01-03 17:00:00,56.19999999999996,-5.500000000000009,0,0001,1.0,2.2765277117124443e-09,3.705890832631938e-09,2.276527711712447e-09,3.7058908326319403e-09,2.2925663797912904e-09,3.725535143694045e-09,2.3043444008410835e-09,3.737001862544547e-09
2025-01-03 17:00:00,56.19999999999996,-5.400000000000009,0,0001,1.0,2.2384736425573973e-09,3.591492145349557e-09,2.2384736425573973e-09,3.5914921453495578e-09,2.2384736425574e-09,3.591492145349562e-09,2.266979665439587e-09,3.6258892291997907e-09
2025-01-03 17:00:00,56.19999999999996,-5.30000000000001,0,0001,1.0,2.2004195734023503e-09,3.4770934580671773e-09,2.2004195734023503e-09,3.477093458067177e-09,2.2172158582152868e-09,3.4971219943330065e-09,2.2296149300380933e-09,3.514776595855038e-09
2025-01-03 17:00:00,50.49999999999988,-4.900000000000011,0,0001,1.0,5.044317183863349e-09,6.065458922159331e-09,5.044317183862952e-09,6.065458922159059e-09,4.703477646713313e-09,5.834861244631955e-09,4.362638109563676e-09,5.604263567104858e-09
2025-01-03 17:00:00,50.49999999999988,-4.800000000000011,0,0001,1.0,5.473266774988251e-09,6.361358328988332e-09,5.38661052105587e-09,6.304463939325444e-09,4.979727599024923e-09,6.013561893817634e-09,4.572844676993979e-09,5.722659848309826e-09
2025-01-03 18:00:00,56.19999999999996,-5.500000000000009,0,0001,1.0,2.2365634066990105e-09,3.6436739597745742e-09,2.236563406699013e-09,3.643673959774577e-09,2.252659489498978e-09,3.6625999837170747e-09,2.2555635696871255e-09,3.6568126604055424e-09
2025-01-03 18:00:00,56.19999999999996,-5.400000000000009,0,0001,1.0,2.1964914054262653e-09,3.5231225992139283e-09,2.196491405426265e-09,3.5231225992139283e-09,2.196491405426262e-09,3.5231225992139225e-09,2.2160862882172857e-09,3.5395735249050826e-09
2025-01-03 18:00:00,56.09999999999996,-5.500000000000009,0,0001,1.0,2.288835135311226e-09,3.757571205576037e-09,2.2888351353112313e-09,3.757571205576038e-09,2.323789435182457e-09,3.791935867733611e-09,2.3587437350536835e-09,3.826300529891184e-09
2025-01-03 18:00:00,56.09999999999996,-5.400000000000009,0,0001,1.0,2.2783321201869567e-09,3.6648225981706725e-09,2.2783321201869518e-09,3.664822598170664e-09,2.2696642586195672e-09,3.6503594938453805e-09,2.3305782654226294e-09,3.718611910150908e-09
2025-01-03 18:00:00,55.899999999999956,-4.500000000000012,0,0001,1.0,4.5321289707243165e-09,5.751617682125785e-09,4.5321289707243165e-09,5.751617682125784e-09,4.153062595105087e-09,5.343899179069441e-09,3.773996219485681e-09,4.9361806760129e-09
2025-01-03 18:00:00,55.899999999999956,-4.400000000000013,0,0001,1.0,4.944800818806636e-09,6.1725302646917865e-09,4.848970140344574e-09,6.063937019184873e-09,4.424775166059181e-09,5.606278658323876e-09,4.000580191773596e-09,5.148620297462665e-09
2025-01-03 18:00:00,50.79999999999988,-4.500000000000012,0,0001,1.0,5.287420778988059e-09,6.3446912168532515e-09,5.20330416947706e-09,6.258363993705665e-09,5.090695170962297e-09,6.159913357173709e-09,4.978086172447538e-09,6.061462720641763e-09
2025-01-03 20:00:00,55.99999999999996,-4.900000000000011,0,0001,1.0,3.1720770454767576e-09,4.250847192762312e-09,3.020617128096886e-09,4.0922538916549845e-09,2.932077981162657e-09,4.021378007211119e-09,2.8435388342284483e-09,3.950502122767278e-09
2025-01-03 21:00:00,55.99999999999996,-4.900000000000011,0,0001,1.0,3.208779131291708e-09,4.257533950391387e-09,3.040430129614814e-09,4.079194719204962e-09,2.93639891861453e-09,3.994205943855987e-09,2.832367707614268e-09,3.90921716850704e-09
2025-01-03 21:00:00,55.99999999999996,-4.600000000000012,0,0001,1.0,4.521854862770982e-09,5.57926482791495e-09,4.214126298460979e-09,5.251778976110554e-09,3.9063977341508114e-09,4.924293124305988e-09,3.540403222218395e-09,4.548501347269341e-09
2025-01-03 22:00:00,51.699999999999896,-4.2000000000000135,0,0001,1.0,6.768522982831832e-09,8.503291034262945e-09,6.768522982831791e-09,8.503291034262906e-09,6.738504843237393e-09,8.475227963876882e-09,6.7421740713532086e-09,8.470869491960201e-09
2025-01-03 22:00:00,51.699999999999896,-4.100000000000014,0,0001,1.0,6.8964683038364535e-09,8.633264547696387e-09,6.896468303836418e-09,8.633264547696356e-09,6.922315074740513e-09,8.674931874692473e-09,6.948161845644616e-09,8.716599201688594e-09
2025-01-04 00:00:00,51.49999999999989,-3.3000000000000136,0,0001,1.0,2.0338716266718853e-08,2.2101637187075007e-08,2.0338716266718856e-08,2.2101637187075007e-08,1.8752951358446334e-08,2.0534993677711146e-08,1.716718645017302e-08,1.8968350168346565e-08
2025-01-04 00:00:00,51.49999999999989,-3.2000000000000135,0,0001,1.0,2.417822209110616e-08,2.5953928783903107e-08,2.344506963569427e-08,2.5214641347079435e-08,2.153283612527001e-08,2.332638987523237e-08,1.9620602614844527e-08,2.1438138403384175e-08
2025-01-04 00:00:00,50.299999999999876,1.6999999999999889,0,0001,1.0,8.78678008131563e-09,9.843840409473414e-09,8.786780081315594e-09,9.84384040947338e-09,8.418609871718879e-09,9.473083095734656e-09,8.05043966212213e-09,9.102325781995902e-09
2025-01-04 01:00:00,51.49999999999989,-3.3000000000000136,0,0001,1.0,1.942618093932433e-08,2.1150606377415662e-08,1.942618093932433e-08,2.1150606377415662e-08,1.791790491326071e-08,1.9658770271379172e-08,1.640962888719632e-08,1.816693416534198e-08
